Query ID: 5, Precision@5: 0.6, Recall@5: 0.03614457831325301
Query ID: 6, Precision@5: 0.6, Recall@5: 0.04838709677419355
Query ID: 7, Precision@5: 1.0, Recall@5: 0.05747126436781609
Query ID: 8, Precision@5: 0.2, Recall@5: 0.043478260869565216
Query ID: 9, Precision@5: 0.4, Recall@5: 0.07692307692307693
Query ID: 10, Precision@5: 0.2, Recall@5: 0.012658227848101266
Query ID: 14, Precision@5: 0.0, Recall@5: 0.0
Query ID: 15, Precision@5: 0.2, Recall@5: 0.02564102564102564
Query ID: 16, Precision@5: 1.0, Recall@5: 0.06944444444444445
Query ID: 17, Precision@5: 0.4, Recall@5: 0.03636363636363636
Query ID: 18, Precision@5: 0.8, Recall@5: 0.047058823529411764
Query ID: 19, Precision@5: 0.2, Recall@5: 0.034482758620689655
Query ID: 20, Precision@5: 0.4, Recall@5: 0.047619047619047616
Query ID: 21, Precision@5: 0.4, Recall@5: 0.0625
Query ID: 24, Precision@5: 0.4, Recall@5: 0.041666666666666664
Query ID: 25, Precision@5: 0.2, Recall@5: 0.034482758620689655
Query ID: 26, Precision@5: 0.0, Recall@5: 0.0
Query ID: 27, Precision@5: 0.2, Recall@5: 0.01639344262295082
Query ID: 28, Precision@5: 0.0, Recall@5: 0.0
Query ID: 29, Precision@5: 0.2, Recall@5: 0.023255813953488372
Query ID: 30, Precision@5: 0.0, Recall@5: 0.0
Query ID: 31, Precision@5: 1.0, Recall@5: 0.06756756756756757
Query ID: 34, Precision@5: 0.2, Recall@5: 0.043478260869565216
Query ID: 35, Precision@5: 0.4, Recall@5: 0.03333333333333333
Query ID: 36, Precision@5: 0.6, Recall@5: 0.036585365853658534
Query ID: 37, Precision@5: 0.2, Recall@5: 0.1
Query ID: 38, Precision@5: 0.0, Recall@5: 0.0
Query ID: 40, Precision@5: 0.8, Recall@5: 0.19047619047619047
Query ID: 41, Precision@5: 0.0, Recall@5: 0.0
Query ID: 42, Precision@5: 0.0, Recall@5: 0.0
Query ID: 46, Precision@5: 0.4, Recall@5: 0.03773584905660377
Query ID: 47, Precision@5: 0.0, Recall@5: 0.0
Query ID: 49, Precision@5: 0.8, Recall@5: 0.05063291139240506
Query ID: 50, Precision@5: 0.0, Recall@5: 0.0
Query ID: 51, Precision@5: 0.2, Recall@5: 0.016666666666666666
Query ID: 52, Precision@5: 0.0, Recall@5: 0.0
Query ID: 53, Precision@5: 0.2, Recall@5: 0.023809523809523808
Query ID: 54, Precision@5: 0.8, Recall@5: 0.0975609756097561
Query ID: 57, Precision@5: 0.0, Recall@5: 0.0
Query ID: 58, Precision@5: 0.4, Recall@5: 0.04878048780487805
Query ID: 59, Precision@5: 0.0, Recall@5: 0.0
Query ID: 60, Precision@5: 0.2, Recall@5: 0.02702702702702703
Query ID: 61, Precision@5: 0.0, Recall@5: 0.0
Query ID: 63, Precision@5: 0.0, Recall@5: 0.0
Query ID: 64, Precision@5: 0.2, Recall@5: 0.014705882352941176
Query ID: 65, Precision@5: 0.4, Recall@5: 0.05555555555555555
Query ID: 69, Precision@5: 0.8, Recall@5: 0.07142857142857142
Query ID: 70, Precision@5: 0.2, Recall@5: 0.03225806451612903
Query ID: 71, Precision@5: 0.0, Recall@5: 0.0
Query ID: 72, Precision@5: 0.2, Recall@5: 0.023809523809523808
Query ID: 73, Precision@5: 0.4, Recall@5: 0.06896551724137931
Query ID: 74, Precision@5: 0.2, Recall@5: 0.02
Query ID: 75, Precision@5: 0.2, Recall@5: 0.02564102564102564
Query ID: 76, Precision@5: 0.0, Recall@5: 0.0
Query ID: 79, Precision@5: 0.2, Recall@5: 0.023255813953488372
Query ID: 80, Precision@5: 0.2, Recall@5: 0.021739130434782608
Query ID: 82, Precision@5: 0.2, Recall@5: 0.027777777777777776
Query ID: 84, Precision@5: 0.2, Recall@5: 0.025
Query ID: 85, Precision@5: 0.2, Recall@5: 0.02702702702702703
Query ID: 86, Precision@5: 0.6, Recall@5: 0.125
Query ID: 87, Precision@5: 0.2, Recall@5: 0.034482758620689655
Query ID: 88, Precision@5: 0.0, Recall@5: 0.0
Query ID: 92, Precision@5: 1.0, Recall@5: 0.08333333333333333
Query ID: 93, Precision@5: 0.0, Recall@5: 0.0
Query ID: 94, Precision@5: 0.0, Recall@5: 0.0
Query ID: 95, Precision@5: 1.0, Recall@5: 0.09803921568627451
Query ID: 97, Precision@5: 0.6, Recall@5: 0.05454545454545454
Query ID: 98, Precision@5: 0.8, Recall@5: 0.2222222222222222
Query ID: 99, Precision@5: 0.0, Recall@5: 0.0
Query ID: 100, Precision@5: 0.0, Recall@5: 0.0
Average Precision@5: 0.3057142857142857
Average Recall@5: 0.036320170811305834
